Timestamp   BTC-candle.max-01-hs-1   BTC-candle.min-01-hs-1   BTC-candle.open-01-hs-1   BTC-candle.close-01-hs-1   BTC-volume.total-01-hs-1
1578942000000   8121.84   8103.17   8107.92   8111.83   918.780208
1578945600000   8160   8104.93   8111.83   8156.84   1627.39869
1578949200000   8158.88   8119.66   8155.79   8136   1160.6401099999998
1578952800000   8141.01   8101   8136   8116.72   1439.7490759999994
1578956400000   8137.94   8101.76   8116.72   8110.34   774.1856660000002
1578960000000   8315   8105.54   8110.34   8270   5835.200149000001
1578963600000   8488.11   8268.57   8270.01   8431.83   10475.892229000003
1578967200000   8434.33   8375   8431.83   8431.14   4595.756428000001
1578970800000   8473.18   8378   8431.17   8461.84   3924.9061910000005
1578974400000   8573   8461.83   8461.83   8524   7156.863684000002
1578978000000   8543.29   8453.35   8523.92   8477.37   3376.554427
1578981600000   8513.32   8465.29   8477.48   8509.54   2639.156577
1578985200000   8542.43   8492.26   8509.53   8509.99   2243.879875
1578988800000   8535.91   8500   8509.85   8511.79   1846.806965
1578992400000   8561   8482   8511.87   8504.73   3272.3319239999996
1578996000000   8530   8470   8504.73   8518.12   3154.394321
1578999600000   8530   8504.6   8518.13   8526.87   1866.9566439999999
1579003200000   8625.37   8480   8526.87   8499.99   7628.789194
1579006800000   8588.88   8498.73   8498.81   8587.4   3843.790009000001
1579010400000   8740   8562   8588.86   8690   10112.750220999998
1579014000000   8760   8633   8689.99   8675.48   6384.809176000002
1579017600000   8696.17   8520   8673.18   8677.05   10224.640190000002
1579021200000   8811.82   8638.88   8677.22   8773.35   9123.536982000001
1579024800000   8850   8608   8771.1   8769.35   9195.533952
1579028400000   8772.8   8687.01   8769.07   8767.56   2633.7961859999996
1579032000000   8766.93   8670   8765.51   8688.19   2457.558858
1579035600000   8761.49   8666.22   8688.18   8734.93   1811.4788690000003
1579039200000   8789.79   8719.11   8735.92   8735.87   1875.611412
1579042800000   8880   8722   8736   8810.01   4718.1322789999995
1579046400000   8900   8701   8814.64   8772.86   8982.362583000002
1579050000000   8803.81   8712   8774.15   8777.99   4161.66072
1579053600000   8835   8765.3   8778   8813.83   1933.881737
1579057200000   8817.98   8727   8813.99   8727.61   2552.5296500000004
1579060800000   8741.75   8570.01   8727   8597.51   6019.922885999999
1579064400000   8666.91   8564   8597.41   8612.29   2395.2606400000004
1579068000000   8693.72   8600.01   8612.01   8680.58   1860.7706640000004
1579071600000   8687.96   8618.63   8680.82   8627.13   2118.645407
1579075200000   8675.11   8605.03   8626.8   8638.36   1803.2795959999999
1579078800000   8782.6   8638.24   8638.6   8755.04   2993.305999
1579082400000   8808.55   8720   8756.06   8798.94   3901.101763
1579086000000   8810   8720   8799.81   8730   2817.2492680000005
1579089600000   8796   8720.38   8730   8764.66   2544.4839349999997
1579093200000   8916.48   8763.83   8765.2   8889.96   5287.832127000001
1579096800000   8903.02   8760   8889.97   8856.17   6474.633403999998
1579100400000   8865.76   8740.01   8855.69   8762.74   4480.569781999999
1579104000000   8820   8676.08   8762.73   8778.68   4789.509828000002
1579107600000   8804.89   8720   8779.43   8797   2802.948741
1579111200000   8798.19   8707   8797   8746.85   2942.383049000001
1579114800000   8785   8742.02   8746.85   8761.57   1178.6147670000003
1579118400000   8842.1   8738.37   8761.57   8814.21   3533.479698999999
1579122000000   8860   8765   8815.21   8830.73   4711.869741000001
1579125600000   8869.32   8800   8830.61   8860.01   2465.7084870000003
1579129200000   8876.4   8790.76   8861.91   8821.41   2064.293132999999
1579132800000   8859.81   8712.27   8820.01   8761.02   3227.6505129999996
1579136400000   8771.95   8613.32   8760.67   8664.43   4368.518390000002
1579140000000   8697.79   8608.53   8663.63   8650   2502.0053089999997
1579143600000   8659   8586   8650   8640.01   2685.284462999999
1579147200000   8730   8615   8640.01   8651.77   1968.7174869999994
1579150800000   8727.85   8649.01   8651.55   8700.55   1607.7664669999997
1579154400000   8727.24   8675   8700.66   8721.22   1429.4298259999994
1579158000000   8723.27   8654.69   8721.37   8680   2136.5817949999996
1579161600000   8715   8662   8679.99   8675.44   2415.3542509999993
1579165200000   8685.87   8606   8675.99   8645.41   2224.931796
1579168800000   8662.76   8600.4   8645.71   8658   2212.895888
1579172400000   8725   8628.03   8658.32   8724.91   2928.1715439999994
1579176000000   8789   8692.35   8724.82   8720   3168.7848060000006
1579179600000   8727   8660   8720   8695.29   2299.756958
1579183200000   8702.52   8640.35   8695.27   8686.18   1928.8873119999994
1579186800000   8725   8668.33   8686.57   8710.02   1493.6066679999997
1579190400000   8720.82   8626   8710.01   8660.19   2557.0724369999994
1579194000000   8719.11   8651.14   8660.19   8678.13   1805.1795099999995
1579197600000   8704   8657.37   8678.13   8684.19   1474.7482880000002
1579201200000   8718   8675   8684   8705   1232.0685229999995
1579204800000   8750   8690   8705.01   8744   1550.084023
1579208400000   8757   8672   8742.94   8691.15   2129.9356230000003
1579212000000   8743.21   8690.15   8691.17   8720.38   1783.5819370000002
1579215600000   8748   8712.39   8720.34   8720.01   860.0604699999997
1579219200000   8743.99   8672.44   8720.15   8690.31   1988.8525769999994
1579222800000   8738.8   8677.01   8690.25   8738.51   1156.7873419999999
1579226400000   8780   8718.16   8738.8   8757.06   2083.041074
1579230000000   8840.4   8751.05   8757.29   8786.43   3103.062254999999
1579233600000   8815.86   8760   8786.43   8815.29   2088.680278000001
1579237200000   8896.89   8791.06   8815.27   8891.25   4726.039348999998
1579240800000   8997   8835.75   8891.25   8862.7   7987.080951999999
1579244400000   8950.36   8843.01   8862.7   8933.95   2782.157034999999
1579248000000   8999   8899.26   8935.54   8928.85   4796.986200000001
1579251600000   8986.27   8924.3   8927.71   8969   2514.231703
1579255200000   9041.65   8880.5   8969.36   8937   6163.066541999999
1579258800000   8962.28   8890.97   8937   8903.45   2483.889697
1579262400000   8919.41   8765   8903.53   8811.54   4987.5535119999995
1579266000000   8865.07   8800   8808.17   8850.99   2011.8402169999993
1579269600000   8852.92   8769.42   8851   8778.69   2562.2452399999993
1579273200000   8867.29   8774   8778.69   8850.83   2041.345434
1579276800000   8923.88   8837.97   8851.39   8875.96   3259.996818
1579280400000   8919.42   8855.81   8875.96   8890.97   2119.0329800000004
1579284000000   8954.49   8882.59   8890.04   8920.12   2285.8811889999997
1579287600000   8955.55   8813   8920.5   8879.71   3260.0550129999997
1579291200000   8934.77   8861.66   8879.63   8879.64   1950.8175090000002
1579294800000   8934.89   8874.82   8879.74   8922.34   946.9730240000001
1579298400000   8959   8901   8922.43   8939.59   1760.36577
1579302000000   8961.6   8905.49   8938.99   8913.28   1837.7556669999997
1579305600000   8987.9   8855.55   8913.27   8978.96   2518.911083
1579309200000   8988.88   8900   8979.23   8941.33   2102.7460379999998
1579312800000   8947.63   8897.4   8941.47   8921.21   1114.369929
1579316400000   8948.57   8899   8921.17   8925.99   1074.9882530000002
1579320000000   8926.95   8826   8926.07   8843.82   2870.8825220000003
1579323600000   8872.3   8815   8842.79   8845.19   2324.5772849999994
1579327200000   8876.48   8806.38   8845.53   8864.72   1281.754597
1579330800000   8879.97   8838   8863.7   8843.63   850.1381680000001
1579334400000   8870   8818   8843.63   8856.43   996.852767
